track_id,frame,x,y,agent_type,scene
1,488,561.1674500494075,441.63787900287554,Biker,bookstore
1,489,561.0078870874046,434.76305229492334,Biker,bookstore
1,490,561.7405873909563,426.96780003955365,Biker,bookstore
1,491,562.3077214648412,418.37596230394774,Biker,bookstore
1,492,561.7915214145204,411.8523930092038,Biker,bookstore
1,493,562.5312268661199,404.6685716828965,Biker,bookstore
1,494,562.4753012033648,397.00602868255197,Biker,bookstore
1,495,563.8410165314596,390.23371878648175,Biker,bookstore
1,496,563.1581976117908,383.5319068713441,Biker,bookstore
1,497,563.7384028033573,374.03262646777847,Biker,bookstore
1,498,563.1117603757937,367.3125530469311,Biker,bookstore
1,499,563.3587254268228,358.13204724378585,Biker,bookstore
1,500,564.446099534617,350.40093239330434,Biker,bookstore
1,501,564.9325934418126,342.57616401820275,Biker,bookstore
1,502,565.4323598605168,334.1678622810459,Biker,bookstore
1,503,564.8380813441651,325.86299580990726,Biker,bookstore
1,504,564.1743049301544,318.10867801461313,Biker,bookstore
1,505,565.1836358774256,309.9224642373569,Biker,bookstore
1,506,566.2501705746457,300.1635916803112,Biker,bookstore
1,507,568.5509168104527,292.70957613475883,Biker,bookstore
1,508,567.7416921868044,284.516868994601,Biker,bookstore
1,509,567.7416921868044,284.516868994601,Biker,bookstore
1,510,567.7416921868044,284.516868994601,Biker,bookstore
1,511,567.7416921868044,284.516868994601,Biker,bookstore
1,512,567.7416921868044,284.516868994601,Biker,bookstore
1,513,567.7416921868044,284.516868994601,Biker,bookstore
1,514,567.7416921868044,284.516868994601,Biker,bookstore
1,515,567.7416921868044,284.516868994601,Biker,bookstore
1,516,567.7416921868044,284.516868994601,Biker,bookstore
1,517,567.7416921868044,284.516868994601,Biker,bookstore
2,380,734.3246090609532,428.65825204756334,Pedestrian,bookstore
2,381,731.775855656709,427.0121204880514,Pedestrian,bookstore
2,382,728.3772540396121,426.8194431818001,Pedestrian,bookstore
2,383,724.6535452536021,427.2295066319541,Pedestrian,bookstore
2,384,722.2242605695297,426.1214781596656,Pedestrian,bookstore
2,385,718.1569636017034,424.6371662992173,Pedestrian,bookstore
2,386,714.0990214060291,423.93867853442225,Pedestrian,bookstore
2,387,710.0334555155173,423.1167318671508,Pedestrian,bookstore
2,388,706.2124566281989,423.258692473064,Pedestrian,bookstore
